id;name;uri;method
1;Any;/;*
2;Profile;/api/auth/user;GET
3;Policies;/api/v1/policies;GET
4;PoliciesPaginate;/api/v1/policies/paginate;GET
5;PoliciesTypes;/api/v1/policies/types;GET
6;PoliciesShow;/api/v1/policies/{id};GET
7;PoliciesShowTypes;/api/v1/policies/types/{id};GET
8;PoliciesStore;/api/v1/policies;POST
9;PoliciesEdit;/api/v1/policies/{id};PUT
10;PoliciesDelete;/api/v1/policies/{id};DELETE
11;PoliciesSearch;/api/v1/policies/search;GET
12;PoliciesShowUserPolicies;/api/v1/policies/user/{id};GET
13;PoliciesShowPolicyUsers;/api/v1/policies/users/{id};GET
14;PoliciesAttach;/api/v1/policies/attach;POST
15;PoliciesDetach;/api/v1/policies/detach;POST
16;PoliciesVerify;/api/v1/policies/verify;GET
17;Users;/api/users;GET
18;UsersShow;/api/users/show/{id};GET
19;UsersShowUsername;/api/users/show;POST
20;UsersSearch;/api/users/search;POST
21;UsersStore;/api/users/store;POST
22;UsersEdit;/api/users/edit;PUT
23;UsersDelete;/api/users/delete;DELETE
24;PoliciesCapabilities;/api/v1/policies/capabilities/user/{id};GET
25;Analytics;dashboard;GET
26;XdevCli;dashboard;GET
27;XdevGui;dashboard;GET
28;PoliciesDefaultAttach;/api/v1/policies/default/attach/{id};GET